Mitocheck_Phenotypic_Class,Metadata_is_control,Cell_UUID,Location_Center_X,Location_Center_Y,Metadata_Plate,Metadata_Well,Metadata_Frame,Metadata_Site,Metadata_Plate_Map_Name,Metadata_DNA,Metadata_Gene,Metadata_Gene_Replicate,average_precision,p_value,n_pos_pairs,n_total_pairs,shuffled
neg_control,1,85a72b0b-d164-449f-afe3-f0acbac7f3a9,1064,397,LT0115_23,352,45,1,LT0115_23_352,LT0115_23/LT0115_23_352_45.tif,negative control,1,1.0,1.0,6878,6878,True
neg_control,1,e824b749-64b5-4cba-9abe-2d681518f998,22,759,LT0062_46,352,60,1,LT0062_46_352,LT0062_46/LT0062_46_352_60.tif,negative control,1,1.0,1.0,6889,6889,True
neg_control,1,39852839-1fb3-4633-a6f4-d0cd7792bd06,144,35,LT0094_04,363,31,1,LT0094_04_363,LT0094_04/LT0094_04_363_31.tif,negative control,1,0.9996547116039598,0.9207921,7071,7072,True
neg_control,1,f8e9ab87-2c66-4ef5-976b-9d607e910950,1127,660,LT0115_01,352,46,1,LT0115_01_352,LT0115_01/LT0115_01_352_46.tif,negative control,1,1.0,1.0,6884,6884,True
neg_control,1,cb11b75c-9360-4e0c-8fb0-9cb078412248,841,165,LT0103_18,363,39,1,LT0103_18_363,LT0103_18/LT0103_18_363_39.tif,negative control,1,1.0,1.0,7070,7070,True
neg_control,1,f428d1be-8f0a-4bd7-b77c-58e8295fb427,1041,573,LT0068_45,15,48,1,LT0068_45_15,LT0068_45/LT0068_45_15_48.tif,negative control,1,1.0,1.0,6667,6667,True
neg_control,1,e927d7c7-8779-41fb-88a0-8c256c6ba77a,817,922,LT0049_44,74,61,1,LT0049_44_74,LT0049_44/LT0049_44_74_61.tif,negative control,1,0.9996932339776116,0.8811881,6579,6580,True
neg_control,1,b6beb52a-d036-4b75-8d91-0cd149320f0d,1300,793,LT0016_28,26,47,1,LT0016_28_26,LT0016_28/LT0016_28_26_47.tif,negative control,1,1.0,1.0,6686,6686,True
neg_control,1,1bc16f7c-eb8a-42d3-8103-7263ef42679b,1147,842,LT0122_55,15,34,1,LT0122_55_15,LT0122_55/LT0122_55_15_34.tif,negative control,1,1.0,1.0,6659,6659,True
neg_control,1,4b097c64-2cb8-4f7c-98b0-fd9f1444429f,1119,657,LT0144_01,74,58,1,LT0144_01_74,LT0144_01/LT0144_01_74_58.tif,negative control,1,1.0,1.0,6581,6581,True
neg_control,1,f7cd6739-ef01-4121-9646-177bb383bc0c,864,245,LT0031_32,352,54,1,LT0031_32_352,LT0031_32/LT0031_32_352_54.tif,negative control,1,1.0,1.0,6887,6887,True
neg_control,1,c872ebab-7568-42d5-963f-eebbc8805f1a,102,938,LT0150_04,26,45,1,LT0150_04_26,LT0150_04/LT0150_04_26_45.tif,negative control,1,0.9998286358322478,0.76237625,6687,6688,True
neg_control,1,7582cf98-b764-4308-ab23-286b1cdf00c5,819,134,LT0017_01,63,56,1,LT0017_01_63,LT0017_01/LT0017_01_63_56.tif,negative control,1,1.0,1.0,6758,6758,True
neg_control,1,7c1723b2-76a9-4482-9dc8-9b1c7e471bec,48,64,LT0015_70,74,38,1,LT0015_70_74,LT0015_70/LT0015_70_74_38.tif,negative control,1,1.0,1.0,6587,6587,True
neg_control,1,b5a947d7-2e8a-49f4-8611-418ff25be76d,170,426,LT0082_04,15,50,1,LT0082_04_15,LT0082_04/LT0082_04_15_50.tif,negative control,1,1.0,1.0,6669,6669,True
neg_control,1,002daf32-d0ca-4343-96ee-6f1c840b1d77,654,451,LT0136_21,63,62,1,LT0136_21_63,LT0136_21/LT0136_21_63_62.tif,negative control,1,1.0,1.0,6748,6748,True
neg_control,1,2308d3b7-a23a-4ef2-90e1-1f1fd2b1fa94,412,646,LT0008_14,26,56,1,LT0008_14_26,LT0008_14/LT0008_14_26_56.tif,negative control,1,1.0,1.0,6686,6686,True
neg_control,1,ce189c00-b0e8-4ec1-9f2c-86eb69d72daf,1104,542,LT0133_38,315,56,1,LT0133_38_315,LT0133_38/LT0133_38_315_56.tif,negative control,1,1.0,1.0,6912,6912,True
neg_control,1,9f94fe7c-1c7f-414d-97c3-8de0970bd4a8,1132,622,LT0128_07,63,44,1,LT0128_07_63,LT0128_07/LT0128_07_63_44.tif,negative control,1,1.0,1.0,6754,6754,True
neg_control,1,32bc6d89-c603-4c76-8029-1618c26beaa9,823,580,LT0140_05,63,59,1,LT0140_05_63,LT0140_05/LT0140_05_63_59.tif,negative control,1,1.0,1.0,6748,6748,True
neg_control,1,ef3bace0-a39c-4f01-9894-5e735eb56853,870,327,LT0090_46,363,43,1,LT0090_46_363,LT0090_46/LT0090_46_363_43.tif,negative control,1,1.0,1.0,7082,7082,True
neg_control,1,1c1e5f98-670d-4e11-8995-b47fef4aa329,83,585,LT0089_02,304,60,1,LT0089_02_304,LT0089_02/LT0089_02_304_60.tif,negative control,1,1.0,1.0,7043,7043,True
neg_control,1,a2bf1050-f13d-4139-910f-49335713543a,796,89,LT0140_05,315,60,1,LT0140_05_315,LT0140_05/LT0140_05_315_60.tif,negative control,1,1.0,1.0,6906,6906,True
neg_control,1,bce4ca8f-db25-4ac6-9078-55d130d19afb,1023,366,LT0061_05,315,36,1,LT0061_05_315,LT0061_05/LT0061_05_315_36.tif,negative control,1,1.0,1.0,6908,6908,True
neg_control,1,2184bc48-238a-4813-8af5-969cddb17333,198,778,LT0116_43,363,53,1,LT0116_43_363,LT0116_43/LT0116_43_363_53.tif,negative control,1,1.0,1.0,7080,7080,True
neg_control,1,192450a7-5ab2-43f7-ac9d-709b131bf074,245,668,LT0140_10,63,61,1,LT0140_10_63,LT0140_10/LT0140_10_63_61.tif,negative control,1,1.0,1.0,6741,6741,True
Elongated,1,ec48e7ee-a5b8-4d64-9fd3-de01ed7e7714,1108,542,LT0091_01,315,60,1,LT0091_01_315,LT0091_01/LT0091_01_315_60.tif,negative control,1,0.8257342980678063,0.5445545,91,111,True
neg_control,1,7a3cb3b5-224f-4baf-8067-9cd5cb225c5e,516,878,LT0022_47,74,42,1,LT0022_47_74,LT0022_47/LT0022_47_74_42.tif,negative control,1,1.0,1.0,6584,6584,True
neg_control,1,a4a88ee9-d7f2-4686-b3ad-626ede2df619,1127,931,LT0005_47,352,41,1,LT0005_47_352,LT0005_47/LT0005_47_352_41.tif,negative control,1,1.0,1.0,6883,6883,True
neg_control,1,91340856-ea72-42f5-a301-00734bdc247c,1238,461,LT0154_03,315,32,1,LT0154_03_315,LT0154_03/LT0154_03_315_32.tif,negative control,1,1.0,1.0,6913,6913,True
neg_control,1,be69fbcf-9f25-44ef-9b10-1f0df416812c,700,336,LT0152_18,315,53,1,LT0152_18_315,LT0152_18/LT0152_18_315_53.tif,negative control,1,0.9999946775989912,0.07920792,6902,6903,True
neg_control,1,4aa8b18d-fb66-42cd-b336-d7591c2049d9,811,927,LT0092_39,63,49,1,LT0092_39_63,LT0092_39/LT0092_39_63_49.tif,negative control,1,1.0,1.0,6734,6734,True
neg_control,1,d524dbfb-f67d-404a-a0a2-aab9dfd9bc50,882,971,LT0071_02,315,57,1,LT0071_02_315,LT0071_02/LT0071_02_315_57.tif,negative control,1,1.0,1.0,6916,6916,True
neg_control,1,7b82cc78-8bd5-40f5-9f0d-f2865093ba62,905,351,LT0140_05,15,35,1,LT0140_05_15,LT0140_05/LT0140_05_15_35.tif,negative control,1,1.0,1.0,6660,6660,True
neg_control,1,4029059f-1227-4ed9-bf32-1513f180a24a,954,902,LT0073_07,15,57,1,LT0073_07_15,LT0073_07/LT0073_07_15_57.tif,negative control,1,1.0,1.0,6675,6675,True
neg_control,1,a89a7409-efe0-4af2-88ed-d3afb1b0b7cb,783,722,LT0152_05,74,40,1,LT0152_05_74,LT0152_05/LT0152_05_74_40.tif,negative control,1,1.0,1.0,6575,6575,True
neg_control,1,2af01c5f-b249-4487-ac27-6205a73b3404,1311,457,LT0038_02,315,45,1,LT0038_02_315,LT0038_02/LT0038_02_315_45.tif,negative control,1,1.0,1.0,6913,6913,True
neg_control,1,f0e8f77f-c707-49d6-ab98-a39694dbc2d4,176,908,LT0089_02,26,52,1,LT0089_02_26,LT0089_02/LT0089_02_26_52.tif,negative control,1,1.0,1.0,6682,6682,True
neg_control,1,175d1201-c982-4cfe-9ce7-f9289d473942,114,509,LT0016_28,74,55,1,LT0016_28_74,LT0016_28/LT0016_28_74_55.tif,negative control,1,1.0,1.0,6589,6589,True
neg_control,1,4467bfd4-e2d3-48b9-bf12-6be96ed5e050,374,49,LT0032_14,26,57,1,LT0032_14_26,LT0032_14/LT0032_14_26_57.tif,negative control,1,1.0,1.0,6690,6690,True
neg_control,1,d176b8fa-c560-4cf9-bf2e-f1a586cf81b4,849,261,LT0119_07,352,33,1,LT0119_07_352,LT0119_07/LT0119_07_352_33.tif,negative control,1,1.0,1.0,6878,6878,True
neg_control,1,16f1bd25-1c09-4b0d-8558-7262ee5b822d,1022,534,LT0008_07,315,54,1,LT0008_07_315,LT0008_07/LT0008_07_315_54.tif,negative control,1,1.0,1.0,6914,6914,True
neg_control,1,3aece569-84ae-4fb6-a263-83d5f869f66c,782,462,LT0134_07,315,54,1,LT0134_07_315,LT0134_07/LT0134_07_315_54.tif,negative control,1,1.0,1.0,6904,6904,True
neg_control,1,105f71e2-8121-42b1-b3dc-2e332ade08d3,130,66,LT0082_11,63,50,1,LT0082_11_63,LT0082_11/LT0082_11_63_50.tif,negative control,1,1.0,1.0,6757,6757,True
neg_control,1,4f7e1f1c-1500-4b59-9bc2-31cfb68c0592,1044,437,LT0170_01,63,32,1,LT0170_01_63,LT0170_01/LT0170_01_63_32.tif,negative control,1,0.9995819193805296,0.83168316,6747,6749,True
neg_control,1,d2e15f39-a294-45ea-88eb-f973770329b3,875,576,LT0602_06,74,61,1,LT0602_06_74,LT0602_06/LT0602_06_74_61.tif,negative control,1,1.0,1.0,6586,6586,True
neg_control,1,55b25ce3-9e5e-4cd0-803a-faed593495a9,1299,714,LT0010_27,15,44,1,LT0010_27_15,LT0010_27/LT0010_27_15_44.tif,negative control,1,1.0,1.0,6649,6649,True
neg_control,1,ef195013-2456-430d-b302-41f4eea50f8f,1045,225,LT0026_22,15,61,1,LT0026_22_15,LT0026_22/LT0026_22_15_61.tif,negative control,1,0.9996615333500186,0.9108911,6650,6651,True
neg_control,1,b62d65c6-4388-4dcd-b6b7-99d32da65fe7,394,546,LT0108_25,363,43,1,LT0108_25_363,LT0108_25/LT0108_25_363_43.tif,negative control,1,1.0,1.0,7086,7086,True
neg_control,1,2c864fe1-69f6-4edb-a35c-8e0d64ced5ff,1080,841,LT0149_05,352,62,1,LT0149_05_352,LT0149_05/LT0149_05_352_62.tif,negative control,1,1.0,1.0,6878,6878,True
neg_control,1,d6e46514-3a60-4a4c-a213-81335771acd9,387,375,LT0035_13,26,36,1,LT0035_13_26,LT0035_13/LT0035_13_26_36.tif,negative control,1,0.9999073785504345,0.43564355,6678,6679,True
neg_control,1,f9ce19fd-b3f7-48f3-b37d-ace538d0bb96,588,59,LT0114_34,315,59,1,LT0114_34_315,LT0114_34/LT0114_34_315_59.tif,negative control,1,1.0,1.0,6911,6911,True
neg_control,1,eb38d632-34aa-45d8-af41-6bba3d2a4c81,431,952,LT0139_08,63,47,1,LT0139_08_63,LT0139_08/LT0139_08_63_47.tif,negative control,1,1.0,1.0,6746,6746,True
neg_control,1,7a60fcd1-c8df-4460-8212-72303320f7ca,590,402,LT0105_27,352,55,1,LT0105_27_352,LT0105_27/LT0105_27_352_55.tif,negative control,1,0.9996887483737588,0.8910891,6880,6881,True
neg_control,1,6134ca46-32c5-48ad-98ab-dbfcc444bfe0,1008,603,LT0067_02,74,46,1,LT0067_02_74,LT0067_02/LT0067_02_74_46.tif,negative control,1,1.0,1.0,6588,6588,True
neg_control,1,a3502028-71b2-43eb-a356-3c1fa549d678,919,344,LT0022_53,63,58,1,LT0022_53_63,LT0022_53/LT0022_53_63_58.tif,negative control,1,1.0,1.0,6744,6744,True
neg_control,1,64c888a2-44a1-4207-ae3b-c0ec584d6667,991,752,LT0094_04,363,31,1,LT0094_04_363,LT0094_04/LT0094_04_363_31.tif,negative control,1,0.9996939819931143,0.9009901,7071,7072,True
neg_control,1,450d5c83-f7bd-4549-a4be-86855a329180,734,315,LT0035_10,15,50,1,LT0035_10_15,LT0035_10/LT0035_10_15_50.tif,negative control,1,0.9999565336641943,0.24752475,6672,6673,True
neg_control,1,c34f713b-1859-4708-81e5-b2a94243a1b6,268,435,LT0123_13,74,36,1,LT0123_13_74,LT0123_13/LT0123_13_74_36.tif,negative control,1,0.9995429688082034,0.9207921,6578,6579,True
